,Dec,Name,Proj1,Proj2,RA
320,39.691894,SDSSJ074309.88+394130.8,-3.9836845,-61.359173,115.7912
321,39.871379,SDSSJ074415.29+395216.9,-18.806822,50.740643,116.06372900000001
322,39.868431,SDSSJ074250.97+395206.3,39.72987,20.812624,115.712391
323,39.343725,SDSSJ073733.01+392037.4,66.37897,-14.842832,114.387569
324,39.540401,SDSSJ073703.39+393225.4,32.001385,26.45233,114.26416499999999
325,41.389275,SDSSJ074100.80+412321.3,-32.37094,-42.585354,115.25336599999999
326,40.472685,SDSSJ074251.75+402821.6,7.9937806,3.2554162,115.71566200000001
327,40.500962,SDSSJ074530.05+403003.4,15.9648075,-53.788162,116.375227
328,40.184967,SDSSJ074600.63+401105.8,-22.298971,-56.96196,116.50266
329,37.718990000000005,SDSSJ074820.08+374308.3,19.620523,12.841621,117.083674
330,37.679564,SDSSJ074804.66+374046.4,-12.117032,-18.845295,117.019449
331,38.243282,SDSSJ074647.15+381435.8,34.28808,-65.65175,116.69648500000001
332,37.687304,SDSSJ074440.66+374114.2,-6.377805,41.820824,116.169417
333,42.305481,SDSSJ074948.02+421819.7,74.25755,21.840601,117.45008700000001
