Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation
SDSSJ133815.98+025425.5,204.566601,2.907094,133815.98+025425.5,204.5666046142580,2.9070940017700200,1.666200041770940,1048580,0,1,-26.52013725921100,0,0,0.0,-26.99688286036470,-1.0,45.900775262415200,46.091570613388400,0.01299458522836170
SDSSJ134636.59+012213.8,206.652461,1.370514,134636.59+012213.8,206.6524658203130,1.3705140352249100,1.9174000024795500,1048580,0,1,-28.462002130931100,0,0,0.0,-26.31504401307260,-1.0,46.69888815286390,46.82254496433720,0.017348624349576100
SDSSJ135329.70+031249.5,208.373752,3.21375,135329.70+031249.5,208.37374877929700,3.213749885559080,1.7462999820709200,4,0,1,-26.672873926257700,0,0,0.0,-26.943295976727000,-1.0,45.975606797106200,46.26075293755790,0.011583625668575700
SDSSJ140008.59+015435.5,210.035831,1.909867,140008.59+015435.5,210.03582763671900,1.9098670482635500,1.692199945449830,1048580,0,1,-26.422441434519000,0,0,0.0,-27.00540436239830,-1.0,45.86157062070270,46.20072460096890,0.01210233384018290
SDSSJ135841.43+014316.5,209.672625,1.721254,135841.43+014316.5,209.67262268066400,1.7212539911270100,1.7924000024795500,1048580,0,1,-27.806027268539900,0,0,0.0,-26.56230751483060,-1.0,46.3805003749177,46.536768824110600,0.008345903063564380
SDSSJ135527.98+015527.5,208.866585,1.924316,135527.98+015527.5,208.86659240722700,1.9243160486221300,1.7329000234603900,7700,0,1,-26.72198423294800,0,2,14.565388920126100,-26.90093296664660,115.94580819549800,46.02111137835650,46.15708150408400,0.026651552298732800
SDSSJ135906.62+021656.3,209.777617,2.282307,135906.62+021656.3,209.77761840820300,2.2823069095611600,1.7333999872207600,1048581,0,1,-26.409657644288200,0,0,0.0,-27.04100785833100,-1.0,45.85784321151980,46.23223847182410,0.005075962161759400
SDSSJ140008.03+031313.6,210.03349,3.220471,140008.03+031313.6,210.0334930419920,3.220470905303960,1.9417999982833900,1048580,0,1,-26.48943646747450,0,0,0.0,-27.08942445608020,-1.0,45.90509755057290,46.15592705741940,0.010939190542575600
SDSSJ140341.97+030817.4,210.924906,3.138187,140341.97+030817.4,210.92491149902300,3.1381869316101100,1.7608000040054300,1048580,0,1,-27.35943336753560,0,0,0.0,-26.67696265875680,-1.0,46.24795250593420,46.42239862874110,0.019768330953643700
SDSSJ140600.94+024610.9,211.503958,2.769722,140600.94+024610.9,211.5039520263670,2.7697219848632800,1.7415000200271600,1048580,0,1,-27.628033375480200,0,0,0.0,-26.579337431068700,-1.0,46.3190380989094,46.65771267518570,0.021480025395792000
SDSSJ140837.32+020758.3,212.155541,2.132881,140837.32+020758.3,212.15554809570300,2.132880926132200,2.0318000316619900,1048581,0,1,-27.266093562546000,0,0,0.0,-26.937124069883200,-1.0,46.16571456323450,46.14105096553660,0.0255282190742771
SDSSJ140821.66+025733.3,212.090291,2.959254,140821.66+025733.3,212.0902862548830,2.959254026412960,2.0583999156951900,4,0,1,-28.69743833985900,0,0,0.0,-26.261404578541100,-1.0,46.83123745597400,46.72979367899840,0.017059907565610600
SDSSJ140919.39+025616.2,212.330823,2.937836,140919.39+025616.2,212.33082580566400,2.937835931777950,1.7143000364303600,4,0,1,-26.95724724775980,0,0,0.0,-26.810302140409500,-1.0,46.08726255150050,46.30796371294110,0.010090105398832800
SDSSJ141140.91+024107.6,212.920481,2.685463,141140.91+024107.6,212.9204864501950,2.6854629516601600,1.8964999914169300,1048581,0,1,-27.26541090262970,1,0,0.0,-26.80378284287250,-1.0,46.21887709024360,46.23410721270820,0.019599928168863300
SDSSJ141751.84+011556.1,214.466039,1.265599,141751.84+011556.1,214.46603393554700,1.265599012374880,1.7263000011444100,1048580,0,1,-27.14343154889570,0,0,0.0,-26.85110699305890,-1.0,46.051592829102800,46.135493795385200,0.01822763798698210
SDSSJ142047.86+014905.5,215.199447,1.818203,142047.86+014905.5,215.19944763183600,1.8182029724121100,1.7164000272750900,4,0,1,-27.655982007259400,0,0,0.0,-26.67496292798260,-1.0,46.23468603629420,46.386414593230500,0.002275632475330900
SDSSJ141718.90+020119.7,214.32876,2.022153,141718.90+020119.7,214.32876586914100,2.022152900695800,2.015199899673460,1048580,0,1,-27.57492320825280,0,0,0.0,-26.727394313392100,-1.0,46.32745409654960,46.47346453524080,0.02111877454472550
SDSSJ141204.81+025339.1,213.020044,2.894217,141204.81+025339.1,213.02005004882800,2.894217014312740,1.9061000347137500,1048580,0,1,-26.74002190353880,0,0,0.0,-26.956504240897300,-1.0,46.04024476564390,46.220968055499000,0.021748066296632800
SDSSJ141845.18+030354.9,214.688263,3.065264,141845.18+030354.9,214.68826293945300,3.0652639865875200,1.940999984741210,4,0,1,-27.074133396015100,0,0,0.0,-26.91893393295340,-1.0,46.08197303711980,46.283149986619100,2.22948314006085E-04
SDSSJ141958.89+014808.6,214.995415,1.802407,141958.89+014808.6,214.99542236328100,1.8024070262908900,1.8930000066757200,1048580,0,1,-26.6788179323284,0,0,0.0,-26.965300834125800,-1.0,46.01940538561380,46.231854638983800,0.026494866466077100
